image_id,label,long_labels
1067694987.jpg,4,Healthy
1067829359.jpg,3,Cassava Mosaic Disease (CMD)
1069221450.jpg,3,Cassava Mosaic Disease (CMD)
1069816211.jpg,2,Cassava Green Mottle (CGM)
1072326766.jpg,0,Cassava Bacterial Blight (CBB)
1072588150.jpg,4,Healthy
1073915000.jpg,4,Healthy
1073983503.jpg,4,Healthy
107427326.jpg,4,Healthy
107466550.jpg,4,Healthy
107608677.jpg,4,Healthy
1076964019.jpg,1,Cassava Brown Streak Disease (CBSD)
1077032520.jpg,1,Cassava Brown Streak Disease (CBSD)
1077647851.jpg,4,Healthy
1077728760.jpg,4,Healthy
107801790.jpg,4,Healthy
1078061341.jpg,1,Cassava Brown Streak Disease (CBSD)
1078779441.jpg,1,Cassava Brown Streak Disease (CBSD)
1079793899.jpg,1,Cassava Brown Streak Disease (CBSD)
1080185160.jpg,4,Healthy
1081331009.jpg,0,Cassava Bacterial Blight (CBB)
1081937072.jpg,4,Healthy
1082098147.jpg,4,Healthy
1083021605.jpg,4,Healthy
1083535091.jpg,4,Healthy
1084229234.jpg,4,Healthy
1085038226.jpg,4,Healthy
1086538376.jpg,4,Healthy
1086549590.jpg,3,Cassava Mosaic Disease (CMD)
1089661926.jpg,1,Cassava Brown Streak Disease (CBSD)
1089759212.jpg,0,Cassava Bacterial Blight (CBB)
109060770.jpg,2,Cassava Green Mottle (CGM)
1091104589.jpg,2,Cassava Green Mottle (CGM)
1091837239.jpg,4,Healthy
1092232758.jpg,4,Healthy
1092289858.jpg,2,Cassava Green Mottle (CGM)
1092828758.jpg,4,Healthy
1093908406.jpg,4,Healthy
1095008050.jpg,3,Cassava Mosaic Disease (CMD)
1095247638.jpg,4,Healthy
109551927.jpg,4,Healthy
1096438409.jpg,4,Healthy
1097323507.jpg,1,Cassava Brown Streak Disease (CBSD)
1097928870.jpg,3,Cassava Mosaic Disease (CMD)
1098184586.jpg,4,Healthy
1098441542.jpg,4,Healthy
1099450301.jpg,4,Healthy
1099882902.jpg,1,Cassava Brown Streak Disease (CBSD)
1100136717.jpg,3,Cassava Mosaic Disease (CMD)
1100677588.jpg,4,Healthy
1101409116.jpg,4,Healthy
1102693690.jpg,4,Healthy
110359894.jpg,4,Healthy
1105163779.jpg,3,Cassava Mosaic Disease (CMD)
1105255922.jpg,0,Cassava Bacterial Blight (CBB)
1106106088.jpg,4,Healthy
1106559016.jpg,4,Healthy
1111719655.jpg,3,Cassava Mosaic Disease (CMD)
1111946219.jpg,1,Cassava Brown Streak Disease (CBSD)
1113246543.jpg,2,Cassava Green Mottle (CGM)
1113768888.jpg,1,Cassava Brown Streak Disease (CBSD)
1115389496.jpg,4,Healthy
1115451372.jpg,2,Cassava Green Mottle (CGM)
11162952.jpg,3,Cassava Mosaic Disease (CMD)
1116781528.jpg,2,Cassava Green Mottle (CGM)
1118164655.jpg,4,Healthy
1118350826.jpg,2,Cassava Green Mottle (CGM)
1119403430.jpg,4,Healthy
1119593200.jpg,4,Healthy
1119847734.jpg,0,Cassava Bacterial Blight (CBB)
1121089876.jpg,2,Cassava Green Mottle (CGM)
1121950922.jpg,4,Healthy
1122080430.jpg,4,Healthy
1122491573.jpg,2,Cassava Green Mottle (CGM)
1122533329.jpg,4,Healthy
1122970967.jpg,4,Healthy
1123269893.jpg,0,Cassava Bacterial Blight (CBB)
1124291241.jpg,0,Cassava Bacterial Blight (CBB)
1124741083.jpg,4,Healthy
1125560878.jpg,4,Healthy
1126417568.jpg,1,Cassava Brown Streak Disease (CBSD)
1126686225.jpg,3,Cassava Mosaic Disease (CMD)
1127286868.jpg,0,Cassava Bacterial Blight (CBB)
1127920784.jpg,4,Healthy
1129086927.jpg,3,Cassava Mosaic Disease (CMD)
1130201707.jpg,1,Cassava Brown Streak Disease (CBSD)
1130848139.jpg,2,Cassava Green Mottle (CGM)
1131164164.jpg,2,Cassava Green Mottle (CGM)
1131795306.jpg,4,Healthy
1132263978.jpg,2,Cassava Green Mottle (CGM)
1132839452.jpg,4,Healthy
1133337432.jpg,2,Cassava Green Mottle (CGM)
1134204099.jpg,4,Healthy
1134422280.jpg,0,Cassava Bacterial Blight (CBB)
1137739472.jpg,2,Cassava Green Mottle (CGM)
1138058391.jpg,4,Healthy
1138645276.jpg,4,Healthy
1138779690.jpg,2,Cassava Green Mottle (CGM)
1139665721.jpg,2,Cassava Green Mottle (CGM)
114251805.jpg,1,Cassava Brown Streak Disease (CBSD)
1143964354.jpg,4,Healthy
1144686555.jpg,1,Cassava Brown Streak Disease (CBSD)
1146890765.jpg,3,Cassava Mosaic Disease (CMD)
1147474861.jpg,4,Healthy
1148267148.jpg,4,Healthy
1148629594.jpg,4,Healthy
1148829591.jpg,0,Cassava Bacterial Blight (CBB)
1149596528.jpg,4,Healthy
1152631724.jpg,0,Cassava Bacterial Blight (CBB)
1153394975.jpg,2,Cassava Green Mottle (CGM)
1153882793.jpg,1,Cassava Brown Streak Disease (CBSD)
1154479394.jpg,4,Healthy
1155507570.jpg,4,Healthy
1156963169.jpg,1,Cassava Brown Streak Disease (CBSD)
115829780.jpg,1,Cassava Brown Streak Disease (CBSD)
1158328538.jpg,4,Healthy
1158552127.jpg,2,Cassava Green Mottle (CGM)
1158624632.jpg,4,Healthy
1160075077.jpg,4,Healthy
1160633739.jpg,4,Healthy
1161282261.jpg,2,Cassava Green Mottle (CGM)
1161696474.jpg,3,Cassava Mosaic Disease (CMD)
1161718761.jpg,4,Healthy
1162152381.jpg,2,Cassava Green Mottle (CGM)
1162919908.jpg,3,Cassava Mosaic Disease (CMD)
116338302.jpg,4,Healthy
116466028.jpg,2,Cassava Green Mottle (CGM)
1164692375.jpg,2,Cassava Green Mottle (CGM)
1164773152.jpg,4,Healthy
1165672630.jpg,4,Healthy
1166973570.jpg,0,Cassava Bacterial Blight (CBB)
1166984087.jpg,3,Cassava Mosaic Disease (CMD)
1166986456.jpg,1,Cassava Brown Streak Disease (CBSD)
1169336431.jpg,4,Healthy
1170371662.jpg,4,Healthy
1170720367.jpg,4,Healthy
1171418212.jpg,4,Healthy
1171469131.jpg,4,Healthy
1173040000.jpg,2,Cassava Green Mottle (CGM)
1176300111.jpg,3,Cassava Mosaic Disease (CMD)
1176861748.jpg,1,Cassava Brown Streak Disease (CBSD)
1176894803.jpg,1,Cassava Brown Streak Disease (CBSD)
1177195410.jpg,2,Cassava Green Mottle (CGM)
1177346702.jpg,1,Cassava Brown Streak Disease (CBSD)
1177596795.jpg,4,Healthy
1178307457.jpg,4,Healthy
1178737001.jpg,4,Healthy
1179062519.jpg,4,Healthy
1179134330.jpg,4,Healthy
1179237425.jpg,2,Cassava Green Mottle (CGM)
1179385123.jpg,2,Cassava Green Mottle (CGM)
117969308.jpg,2,Cassava Green Mottle (CGM)
1179908738.jpg,4,Healthy
1179913576.jpg,0,Cassava Bacterial Blight (CBB)
1180917298.jpg,3,Cassava Mosaic Disease (CMD)
118102555.jpg,3,Cassava Mosaic Disease (CMD)
1182166221.jpg,1,Cassava Brown Streak Disease (CBSD)
1182217128.jpg,0,Cassava Bacterial Blight (CBB)
1182402718.jpg,4,Healthy
1182693918.jpg,4,Healthy
1184908873.jpg,2,Cassava Green Mottle (CGM)
1186910590.jpg,4,Healthy
1187087973.jpg,2,Cassava Green Mottle (CGM)
1188133265.jpg,2,Cassava Green Mottle (CGM)
1190399034.jpg,4,Healthy
1190620431.jpg,4,Healthy
1191974622.jpg,1,Cassava Brown Streak Disease (CBSD)
1192486665.jpg,3,Cassava Mosaic Disease (CMD)
1193048805.jpg,1,Cassava Brown Streak Disease (CBSD)
119354743.jpg,2,Cassava Green Mottle (CGM)
1194042617.jpg,4,Healthy
1194838492.jpg,2,Cassava Green Mottle (CGM)
1195608282.jpg,4,Healthy
1195706216.jpg,4,Healthy
119670532.jpg,1,Cassava Brown Streak Disease (CBSD)
1197890857.jpg,2,Cassava Green Mottle (CGM)
1198476572.jpg,4,Healthy
1198521073.jpg,4,Healthy
1199307978.jpg,4,Healthy
1199797130.jpg,2,Cassava Green Mottle (CGM)
1199951888.jpg,3,Cassava Mosaic Disease (CMD)
1201250931.jpg,2,Cassava Green Mottle (CGM)
1202567382.jpg,4,Healthy
1203248171.jpg,1,Cassava Brown Streak Disease (CBSD)
1203861431.jpg,0,Cassava Bacterial Blight (CBB)
1206348025.jpg,3,Cassava Mosaic Disease (CMD)
1207142999.jpg,0,Cassava Bacterial Blight (CBB)
1207682270.jpg,2,Cassava Green Mottle (CGM)
1207863833.jpg,4,Healthy
1207970766.jpg,3,Cassava Mosaic Disease (CMD)
1207981174.jpg,3,Cassava Mosaic Disease (CMD)
1208930498.jpg,0,Cassava Bacterial Blight (CBB)
1210363668.jpg,4,Healthy
1211459869.jpg,2,Cassava Green Mottle (CGM)
1212460226.jpg,4,Healthy
1213015502.jpg,3,Cassava Mosaic Disease (CMD)
1213094661.jpg,2,Cassava Green Mottle (CGM)
1214073637.jpg,1,Cassava Brown Streak Disease (CBSD)
1215008377.jpg,3,Cassava Mosaic Disease (CMD)
1216540575.jpg,4,Healthy
1216982810.jpg,4,Healthy
1218204606.jpg,0,Cassava Bacterial Blight (CBB)
1218759874.jpg,4,Healthy
1220111423.jpg,1,Cassava Brown Streak Disease (CBSD)
1220197.jpg,3,Cassava Mosaic Disease (CMD)
1221389553.jpg,4,Healthy
1222304315.jpg,0,Cassava Bacterial Blight (CBB)
1223678256.jpg,4,Healthy
1224284456.jpg,4,Healthy
1224722414.jpg,4,Healthy
1224742642.jpg,4,Healthy
1226229633.jpg,2,Cassava Green Mottle (CGM)
1226905166.jpg,4,Healthy
1227531167.jpg,4,Healthy
1227903119.jpg,3,Cassava Mosaic Disease (CMD)
1228602404.jpg,3,Cassava Mosaic Disease (CMD)
1228668761.jpg,2,Cassava Green Mottle (CGM)
1228781460.jpg,4,Healthy
1230760429.jpg,4,Healthy
1230922273.jpg,4,Healthy
1231695981.jpg,4,Healthy
1233519528.jpg,2,Cassava Green Mottle (CGM)
1234218765.jpg,4,Healthy
1234931385.jpg,2,Cassava Green Mottle (CGM)
1235142158.jpg,4,Healthy
12351712.jpg,4,Healthy
1235188286.jpg,2,Cassava Green Mottle (CGM)
1236036550.jpg,0,Cassava Bacterial Blight (CBB)
1236952675.jpg,4,Healthy
1238420364.jpg,4,Healthy
1239270828.jpg,4,Healthy
1239790463.jpg,4,Healthy
1241243048.jpg,0,Cassava Bacterial Blight (CBB)
1241954880.jpg,3,Cassava Mosaic Disease (CMD)
1242632379.jpg,4,Healthy
1244824731.jpg,1,Cassava Brown Streak Disease (CBSD)
1248926880.jpg,4,Healthy
1249688756.jpg,4,Healthy
1250175842.jpg,3,Cassava Mosaic Disease (CMD)
1250532785.jpg,4,Healthy
1251480782.jpg,4,Healthy
125207834.jpg,0,Cassava Bacterial Blight (CBB)
1252142336.jpg,4,Healthy
1252338072.jpg,1,Cassava Brown Streak Disease (CBSD)
1252793337.jpg,0,Cassava Bacterial Blight (CBB)
1253370926.jpg,1,Cassava Brown Streak Disease (CBSD)
1253839478.jpg,1,Cassava Brown Streak Disease (CBSD)
1256756297.jpg,2,Cassava Green Mottle (CGM)
125703440.jpg,0,Cassava Bacterial Blight (CBB)
1257614231.jpg,2,Cassava Green Mottle (CGM)
1257722336.jpg,4,Healthy
1258444443.jpg,0,Cassava Bacterial Blight (CBB)
1258586775.jpg,0,Cassava Bacterial Blight (CBB)
1260065285.jpg,2,Cassava Green Mottle (CGM)
1260076177.jpg,4,Healthy
1262742218.jpg,3,Cassava Mosaic Disease (CMD)
1264302367.jpg,4,Healthy
1267456239.jpg,4,Healthy
1267671444.jpg,4,Healthy
1267796913.jpg,4,Healthy
12688038.jpg,2,Cassava Green Mottle (CGM)
1268934820.jpg,4,Healthy
1269550303.jpg,4,Healthy
1269646820.jpg,2,Cassava Green Mottle (CGM)
1269866934.jpg,4,Healthy
1269902527.jpg,1,Cassava Brown Streak Disease (CBSD)
1270179035.jpg,4,Healthy
1270368553.jpg,3,Cassava Mosaic Disease (CMD)
1270462565.jpg,0,Cassava Bacterial Blight (CBB)
1271661082.jpg,4,Healthy
1272381477.jpg,4,Healthy
127464350.jpg,0,Cassava Bacterial Blight (CBB)
1276561660.jpg,4,Healthy
127665486.jpg,1,Cassava Brown Streak Disease (CBSD)
1276900213.jpg,4,Healthy
1277057359.jpg,4,Healthy
1277210685.jpg,4,Healthy
127742871.jpg,4,Healthy
1277679675.jpg,4,Healthy
1279832641.jpg,2,Cassava Green Mottle (CGM)
1279878525.jpg,1,Cassava Brown Streak Disease (CBSD)
1280298978.jpg,4,Healthy
1280952640.jpg,3,Cassava Mosaic Disease (CMD)
1281046744.jpg,3,Cassava Mosaic Disease (CMD)
1284779898.jpg,4,Healthy
1286828340.jpg,3,Cassava Mosaic Disease (CMD)
1288115291.jpg,4,Healthy
1290189931.jpg,2,Cassava Green Mottle (CGM)
1290330052.jpg,4,Healthy
1290729293.jpg,4,Healthy
1290835464.jpg,4,Healthy
1291425796.jpg,4,Healthy
1292034909.jpg,4,Healthy
1292410663.jpg,4,Healthy
129262656.jpg,4,Healthy
1293001652.jpg,4,Healthy
1293629264.jpg,4,Healthy
1295121717.jpg,2,Cassava Green Mottle (CGM)
1297980012.jpg,4,Healthy
1298297542.jpg,1,Cassava Brown Streak Disease (CBSD)
1298789590.jpg,0,Cassava Bacterial Blight (CBB)
1299050149.jpg,4,Healthy
1299200628.jpg,0,Cassava Bacterial Blight (CBB)
1300599354.jpg,4,Healthy
1300823152.jpg,4,Healthy
1300977508.jpg,4,Healthy
1301200237.jpg,3,Cassava Mosaic Disease (CMD)
1302300755.jpg,2,Cassava Green Mottle (CGM)
1302328544.jpg,4,Healthy
1302565676.jpg,4,Healthy
1303312284.jpg,4,Healthy
1303473787.jpg,1,Cassava Brown Streak Disease (CBSD)
1303876802.jpg,0,Cassava Bacterial Blight (CBB)
1304633262.jpg,4,Healthy
1305777482.jpg,4,Healthy
1305931861.jpg,3,Cassava Mosaic Disease (CMD)
1307113448.jpg,2,Cassava Green Mottle (CGM)
1307553157.jpg,4,Healthy
1308234304.jpg,4,Healthy
1309174561.jpg,4,Healthy
1309857132.jpg,4,Healthy
1310462986.jpg,4,Healthy
1311286809.jpg,3,Cassava Mosaic Disease (CMD)
1312388258.jpg,2,Cassava Green Mottle (CGM)
1312658140.jpg,4,Healthy
1313344197.jpg,4,Healthy
1313972896.jpg,3,Cassava Mosaic Disease (CMD)
1314818419.jpg,2,Cassava Green Mottle (CGM)
1315280013.jpg,1,Cassava Brown Streak Disease (CBSD)
1315698965.jpg,4,Healthy
1315703561.jpg,1,Cassava Brown Streak Disease (CBSD)
1315872826.jpg,0,Cassava Bacterial Blight (CBB)
1316234196.jpg,4,Healthy
1316805765.jpg,4,Healthy
1317487445.jpg,4,Healthy
1319252065.jpg,4,Healthy
132012134.jpg,1,Cassava Brown Streak Disease (CBSD)
1320276326.jpg,4,Healthy
1321561951.jpg,4,Healthy
1325098159.jpg,2,Cassava Green Mottle (CGM)
1325487740.jpg,3,Cassava Mosaic Disease (CMD)
1325693886.jpg,3,Cassava Mosaic Disease (CMD)
1326064660.jpg,4,Healthy
1326139580.jpg,4,Healthy
1326787301.jpg,0,Cassava Bacterial Blight (CBB)
132695140.jpg,4,Healthy
1328015019.jpg,4,Healthy
1328164078.jpg,4,Healthy
1329083657.jpg,4,Healthy
1329201937.jpg,4,Healthy
1330357112.jpg,3,Cassava Mosaic Disease (CMD)
1331226893.jpg,4,Healthy
1331260806.jpg,4,Healthy
1332424855.jpg,0,Cassava Bacterial Blight (CBB)
133263895.jpg,4,Healthy
133303828.jpg,4,Healthy
1333145781.jpg,3,Cassava Mosaic Disease (CMD)
133326379.jpg,4,Healthy
1333580402.jpg,0,Cassava Bacterial Blight (CBB)
1334282465.jpg,4,Healthy
133431114.jpg,4,Healthy
1334904382.jpg,1,Cassava Brown Streak Disease (CBSD)
1336580642.jpg,0,Cassava Bacterial Blight (CBB)
1339257499.jpg,0,Cassava Bacterial Blight (CBB)
1340186286.jpg,4,Healthy
1340999953.jpg,4,Healthy
1341694459.jpg,4,Healthy
1342343254.jpg,0,Cassava Bacterial Blight (CBB)
1342351547.jpg,4,Healthy
1343301467.jpg,2,Cassava Green Mottle (CGM)
1343777320.jpg,1,Cassava Brown Streak Disease (CBSD)
1344226593.jpg,4,Healthy
1344397550.jpg,4,Healthy
1344533607.jpg,4,Healthy
1345657742.jpg,2,Cassava Green Mottle (CGM)
1345715941.jpg,3,Cassava Mosaic Disease (CMD)
1346754206.jpg,4,Healthy
1346909762.jpg,4,Healthy
1347999958.jpg,4,Healthy
1348163694.jpg,4,Healthy
1348307468.jpg,4,Healthy
1349523638.jpg,3,Cassava Mosaic Disease (CMD)
135094227.jpg,2,Cassava Green Mottle (CGM)
1351445240.jpg,4,Healthy
1352385379.jpg,3,Cassava Mosaic Disease (CMD)
135270912.jpg,4,Healthy
1354277751.jpg,3,Cassava Mosaic Disease (CMD)
1354666610.jpg,4,Healthy
1355230082.jpg,3,Cassava Mosaic Disease (CMD)
1355462312.jpg,1,Cassava Brown Streak Disease (CBSD)
1357774593.jpg,1,Cassava Brown Streak Disease (CBSD)
1357797590.jpg,0,Cassava Bacterial Blight (CBB)
1358076537.jpg,0,Cassava Bacterial Blight (CBB)
1358792990.jpg,4,Healthy
1359438859.jpg,2,Cassava Green Mottle (CGM)
1359809318.jpg,4,Healthy
1361129876.jpg,4,Healthy
1361142044.jpg,4,Healthy
1361163747.jpg,4,Healthy
1362172635.jpg,3,Cassava Mosaic Disease (CMD)
1362452707.jpg,1,Cassava Brown Streak Disease (CBSD)
1362873947.jpg,4,Healthy
1363807985.jpg,4,Healthy
1364063429.jpg,4,Healthy
1364435251.jpg,4,Healthy
1364472347.jpg,4,Healthy
1365612235.jpg,4,Healthy
1366111049.jpg,2,Cassava Green Mottle (CGM)
136815898.jpg,0,Cassava Bacterial Blight (CBB)
1369203337.jpg,4,Healthy
1369694663.jpg,2,Cassava Green Mottle (CGM)
1369924842.jpg,1,Cassava Brown Streak Disease (CBSD)
1369983957.jpg,3,Cassava Mosaic Disease (CMD)
1371104507.jpg,2,Cassava Green Mottle (CGM)
1371699817.jpg,0,Cassava Bacterial Blight (CBB)
1371946692.jpg,4,Healthy
1372417670.jpg,4,Healthy
1373499412.jpg,4,Healthy
1374456253.jpg,3,Cassava Mosaic Disease (CMD)
1374580493.jpg,3,Cassava Mosaic Disease (CMD)
1375173494.jpg,1,Cassava Brown Streak Disease (CBSD)
1376091294.jpg,4,Healthy
1376107939.jpg,4,Healthy
1377344118.jpg,4,Healthy
1378330885.jpg,2,Cassava Green Mottle (CGM)
1378549599.jpg,4,Healthy
1378967272.jpg,2,Cassava Green Mottle (CGM)
1379189798.jpg,2,Cassava Green Mottle (CGM)
1381916877.jpg,1,Cassava Brown Streak Disease (CBSD)
1381973639.jpg,4,Healthy
1383484107.jpg,4,Healthy
1383632067.jpg,1,Cassava Brown Streak Disease (CBSD)
1385746259.jpg,4,Healthy
1385808202.jpg,4,Healthy
1386736977.jpg,4,Healthy
1386911368.jpg,4,Healthy
1387417051.jpg,1,Cassava Brown Streak Disease (CBSD)
1388871610.jpg,4,Healthy
1389754395.jpg,4,Healthy
1390241299.jpg,3,Cassava Mosaic Disease (CMD)
1391150010.jpg,2,Cassava Green Mottle (CGM)
1391719532.jpg,4,Healthy
1393783706.jpg,2,Cassava Green Mottle (CGM)
1394172142.jpg,4,Healthy
139442048.jpg,2,Cassava Green Mottle (CGM)
1394744680.jpg,1,Cassava Brown Streak Disease (CBSD)
1395194377.jpg,3,Cassava Mosaic Disease (CMD)
1395866975.jpg,4,Healthy
1396197326.jpg,1,Cassava Brown Streak Disease (CBSD)
1396226721.jpg,4,Healthy
1396847821.jpg,0,Cassava Bacterial Blight (CBB)
1397843043.jpg,4,Healthy
1398952610.jpg,1,Cassava Brown Streak Disease (CBSD)
1401539761.jpg,4,Healthy
1401653529.jpg,2,Cassava Green Mottle (CGM)
1402359353.jpg,2,Cassava Green Mottle (CGM)
1406419715.jpg,4,Healthy
1407062920.jpg,1,Cassava Brown Streak Disease (CBSD)
1408296206.jpg,0,Cassava Bacterial Blight (CBB)
1409426378.jpg,2,Cassava Green Mottle (CGM)
1410225488.jpg,4,Healthy
1410738568.jpg,4,Healthy
1410898675.jpg,0,Cassava Bacterial Blight (CBB)
1411057259.jpg,4,Healthy
1412272619.jpg,4,Healthy
1415860816.jpg,2,Cassava Green Mottle (CGM)
1416904075.jpg,3,Cassava Mosaic Disease (CMD)
1417356734.jpg,4,Healthy
1417496054.jpg,3,Cassava Mosaic Disease (CMD)
1418105858.jpg,3,Cassava Mosaic Disease (CMD)
1418463220.jpg,2,Cassava Green Mottle (CGM)
1419991978.jpg,1,Cassava Brown Streak Disease (CBSD)
1420638030.jpg,2,Cassava Green Mottle (CGM)
1421336359.jpg,1,Cassava Brown Streak Disease (CBSD)
1421692593.jpg,3,Cassava Mosaic Disease (CMD)
1421925584.jpg,3,Cassava Mosaic Disease (CMD)
1422781530.jpg,4,Healthy
1425848299.jpg,2,Cassava Green Mottle (CGM)
1425912705.jpg,4,Healthy
1426179564.jpg,4,Healthy
1426690752.jpg,2,Cassava Green Mottle (CGM)
1427678310.jpg,1,Cassava Brown Streak Disease (CBSD)
142821017.jpg,1,Cassava Brown Streak Disease (CBSD)
1428302810.jpg,4,Healthy
1428569100.jpg,4,Healthy
1429065354.jpg,3,Cassava Mosaic Disease (CMD)
1430189615.jpg,2,Cassava Green Mottle (CGM)
1430539919.jpg,3,Cassava Mosaic Disease (CMD)
143092286.jpg,4,Healthy
1430955699.jpg,0,Cassava Bacterial Blight (CBB)
1431172246.jpg,4,Healthy
1431232276.jpg,2,Cassava Green Mottle (CGM)
143205841.jpg,4,Healthy
1432249645.jpg,1,Cassava Brown Streak Disease (CBSD)
1432401820.jpg,2,Cassava Green Mottle (CGM)
1432403578.jpg,2,Cassava Green Mottle (CGM)
1433652364.jpg,4,Healthy
1434200283.jpg,4,Healthy
1435237849.jpg,2,Cassava Green Mottle (CGM)
1436413250.jpg,4,Healthy
1436699751.jpg,4,Healthy
1436718296.jpg,4,Healthy
1437341132.jpg,4,Healthy
1438039429.jpg,4,Healthy
1438263670.jpg,2,Cassava Green Mottle (CGM)
1440401494.jpg,3,Cassava Mosaic Disease (CMD)
1442249007.jpg,2,Cassava Green Mottle (CGM)
1442268656.jpg,4,Healthy
1442310291.jpg,4,Healthy
1442345924.jpg,0,Cassava Bacterial Blight (CBB)
1442862093.jpg,4,Healthy
144323754.jpg,3,Cassava Mosaic Disease (CMD)
1443356256.jpg,2,Cassava Green Mottle (CGM)
1443532770.jpg,2,Cassava Green Mottle (CGM)
144489717.jpg,2,Cassava Green Mottle (CGM)
1445110215.jpg,4,Healthy
1445197304.jpg,4,Healthy
1445324291.jpg,4,Healthy
1445369057.jpg,4,Healthy
1445721278.jpg,1,Cassava Brown Streak Disease (CBSD)
1446871248.jpg,3,Cassava Mosaic Disease (CMD)
1446872004.jpg,0,Cassava Bacterial Blight (CBB)
144778428.jpg,4,Healthy
1447962374.jpg,1,Cassava Brown Streak Disease (CBSD)
1448397186.jpg,0,Cassava Bacterial Blight (CBB)
1448521119.jpg,3,Cassava Mosaic Disease (CMD)
1449414594.jpg,2,Cassava Green Mottle (CGM)
1450903179.jpg,4,Healthy
1451004490.jpg,2,Cassava Green Mottle (CGM)
1452260416.jpg,2,Cassava Green Mottle (CGM)
1455218947.jpg,2,Cassava Green Mottle (CGM)
1457225378.jpg,2,Cassava Green Mottle (CGM)
1457571171.jpg,4,Healthy
1458153387.jpg,4,Healthy
1458603668.jpg,0,Cassava Bacterial Blight (CBB)
1459278356.jpg,4,Healthy
1459763157.jpg,3,Cassava Mosaic Disease (CMD)
1460087437.jpg,4,Healthy
1461642951.jpg,4,Healthy
